ticker
ASML.AS
SAP.DE
MC.PA
OR.PA
TTE.PA
SAN.PA
AIR.PA
SU.PA
SIE.DE
ALV.DE
DTE.DE
BAS.DE
BAYN.DE
MUV2.DE
NESN.SW
ROG.SW
NOVN.SW
UBSG.SW
ZURN.SW
NOVO-B.CO
AZN.L
SHEL.L
HSBA.L
ULVR.L
GSK.L
RIO.L
BP.L
BARC.L
LSEG.L
REL.L
ISP.MI
ENI.MI
ENEL.MI
SAN.MC
IBE.MC
ITX.MC
PHIA.AS
INGA.AS
ADYEN.AS
PRX.AS
